epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1168.12,1.53124,1.87338,0.01017,0.42739,0.3709,0.33587,0.2043,1.43532,2.11115,0.01452,0.0012862,0.0012862,0.0012862
43,1204.29,1.57004,1.85425,0.00983,0.43707,0.35304,0.32411,0.2024,1.27878,2.34077,0.011,0.0012562,0.0012562,0.0012562
44,1241.33,1.5122,1.84693,0.00961,0.46868,0.34825,0.34161,0.2112,1.42462,2.0783,0.01457,0.00122596,0.00122596,0.00122596
45,1278.27,1.5,1.85418,0.00992,0.44956,0.35903,0.33879,0.2074,1.31255,2.47695,0.01214,0.00119551,0.00119551,0.00119551
46,1315.53,1.49951,1.84916,0.00984,0.47746,0.35473,0.33221,0.19649,1.27874,2.67182,0.01094,0.00116487,0.00116487,0.00116487
47,1342.78,1.52177,1.87291,0.00976,0.39541,0.36544,0.31915,0.1952,1.46497,2.3349,0.01567,0.00113408,0.00113408,0.00113408
48,1367.35,1.50223,1.80924,0.0101,0.44986,0.378,0.34099,0.20658,1.40164,2.16983,0.01404,0.00110317,0.00110317,0.00110317
49,1391.93,1.50915,1.75874,0.00989,0.46548,0.39011,0.35424,0.21439,1.41842,2.25306,0.01471,0.00107216,0.00107216,0.00107216
50,1416.49,1.47458,1.75294,0.00923,0.47823,0.3839,0.34832,0.20889,1.41838,2.16029,0.01434,0.0010411,0.0010411,0.0010411
51,1441.1,1.51646,1.74799,0.00948,0.43493,0.39128,0.34144,0.20428,1.41058,2.28344,0.01462,0.00101,0.00101,0.00101
52,1465.68,1.5084,1.77133,0.00939,0.43855,0.38477,0.33122,0.20115,1.26272,2.22216,0.01114,0.000978903,0.000978903,0.000978903
53,1490.36,1.47224,1.76218,0.00934,0.50746,0.37879,0.35372,0.21674,1.26321,2.27775,0.01134,0.000947837,0.000947837,0.000947837
54,1514.76,1.45792,1.75054,0.00996,0.51481,0.3593,0.35172,0.2194,1.3624,2.15976,0.01355,0.000916833,0.000916833,0.000916833
55,1539.28,1.47245,1.71619,0.00914,0.43674,0.38528,0.33774,0.20812,1.38069,2.10308,0.01381,0.00088592,0.00088592,0.00088592
56,1564.73,1.4706,1.71647,0.00955,0.50899,0.35354,0.35055,0.21493,1.42414,2.10433,0.01461,0.00085513,0.00085513,0.00085513
57,1592.05,1.47034,1.66752,0.00933,0.45886,0.38288,0.35882,0.21984,1.4097,2.05793,0.01448,0.000824492,0.000824492,0.000824492
58,1619.7,1.45498,1.66774,0.00928,0.44294,0.39146,0.3435,0.21511,1.31811,2.28493,0.01336,0.000794038,0.000794038,0.000794038
59,1647.81,1.44776,1.67502,0.00928,0.5273,0.34382,0.35739,0.22515,1.30707,2.2953,0.0125,0.000763797,0.000763797,0.000763797
60,1676,1.42788,1.62995,0.00854,0.44416,0.38284,0.3635,0.22873,1.26154,2.1397,0.01175,0.000733799,0.000733799,0.000733799
61,1703.85,1.42918,1.60475,0.00889,0.50192,0.3919,0.37897,0.23562,1.31066,2.07166,0.01177,0.000704073,0.000704073,0.000704073
62,1731.59,1.43613,1.57619,0.00907,0.51972,0.38873,0.37837,0.23108,1.25549,2.1408,0.01113,0.000674649,0.000674649,0.000674649
63,1759.13,1.42895,1.59697,0.0089,0.45262,0.39276,0.36282,0.22375,1.23003,2.3227,0.01056,0.000645557,0.000645557,0.000645557
64,1786.77,1.43186,1.59306,0.00902,0.46324,0.38574,0.36901,0.23218,1.2669,2.12652,0.0115,0.000616824,0.000616824,0.000616824
65,1814.38,1.39238,1.59744,0.00861,0.46425,0.3988,0.37566,0.23575,1.29261,2.01215,0.01163,0.000588479,0.000588479,0.000588479
66,1841.89,1.41664,1.56971,0.00881,0.51321,0.37363,0.39004,0.24416,1.36741,2.0076,0.01384,0.000560549,0.000560549,0.000560549
67,1869.41,1.40946,1.54023,0.00865,0.5147,0.36012,0.37637,0.23282,1.36901,2.20041,0.01375,0.000533064,0.000533064,0.000533064
68,1896.83,1.38714,1.55497,0.00872,0.51204,0.3884,0.39116,0.23992,1.31265,2.06766,0.01259,0.000506049,0.000506049,0.000506049
69,1924.36,1.38891,1.54448,0.00855,0.48003,0.38728,0.3658,0.23349,1.31382,2.14896,0.01272,0.000479531,0.000479531,0.000479531
70,1951.81,1.38234,1.50715,0.00855,0.48325,0.3783,0.36507,0.22966,1.24267,2.14534,0.01086,0.000453537,0.000453537,0.000453537
71,1985.91,1.38835,1.47483,0.0084,0.47285,0.37909,0.36426,0.22926,1.27057,2.23743,0.01142,0.000428093,0.000428093,0.000428093
72,2023.01,1.36227,1.47721,0.00837,0.48303,0.37377,0.35667,0.2194,1.29413,2.22827,0.01213,0.000403222,0.000403222,0.000403222
73,2060.62,1.38629,1.47354,0.00841,0.47708,0.39322,0.3758,0.22787,1.33302,2.14691,0.01301,0.00037895,0.00037895,0.00037895
74,2097.78,1.37192,1.47701,0.00847,0.4807,0.38548,0.36779,0.22941,1.34268,2.08416,0.01318,0.000355301,0.000355301,0.000355301
75,2127.53,1.33589,1.45543,0.00854,0.48929,0.36939,0.37433,0.2375,1.22539,2.09017,0.01033,0.000332298,0.000332298,0.000332298
76,2152.01,1.33417,1.45547,0.00859,0.5574,0.35937,0.37651,0.23888,1.22822,2.17607,0.01059,0.000309964,0.000309964,0.000309964
77,2176.64,1.37465,1.44503,0.00833,0.51241,0.38014,0.38132,0.23842,1.21261,2.14685,0.0106,0.000288321,0.000288321,0.000288321
78,2201.16,1.34322,1.46354,0.00833,0.58736,0.37237,0.39273,0.24163,1.24106,2.17198,0.01072,0.00026739,0.00026739,0.00026739
79,2225.73,1.35991,1.43933,0.00823,0.52147,0.38475,0.38049,0.2399,1.26375,2.1079,0.01139,0.000247192,0.000247192,0.000247192
80,2250.23,1.33151,1.43371,0.00832,0.54987,0.38343,0.39216,0.24296,1.24465,2.06812,0.01119,0.000227747,0.000227747,0.000227747
81,2274.66,1.33309,1.43395,0.00812,0.47915,0.40159,0.38082,0.23898,1.24182,2.09177,0.0111,0.000209073,0.000209073,0.000209073
82,2299.2,1.38162,1.44391,0.00835,0.49493,0.40709,0.38648,0.24473,1.25696,2.04402,0.01122,0.00019119,0.00019119,0.00019119
83,2323.78,1.34115,1.3956,0.00797,0.53546,0.3757,0.38653,0.24346,1.27611,2.0374,0.0117,0.000174115,0.000174115,0.000174115
84,2348.15,1.32187,1.42669,0.00818,0.49017,0.37315,0.37341,0.23778,1.23783,2.09365,0.01097,0.000157865,0.000157865,0.000157865
85,2372.53,1.33106,1.43048,0.00839,0.53276,0.3766,0.38314,0.24483,1.20241,2.07825,0.01011,0.000142456,0.000142456,0.000142456
86,2396.96,1.32479,1.39331,0.00823,0.60064,0.34251,0.3757,0.24164,1.19289,2.12094,0.01021,0.000127904,0.000127904,0.000127904
87,2421.39,1.32698,1.3797,0.00777,0.58812,0.34963,0.37679,0.23941,1.18341,2.12712,0.01006,0.000114221,0.000114221,0.000114221
88,2445.85,1.33743,1.36611,0.00787,0.54424,0.37802,0.37545,0.24192,1.17915,2.13668,0.00988,0.000101423,0.000101423,0.000101423
89,2470.36,1.33254,1.38363,0.00807,0.53158,0.37809,0.38098,0.24138,1.19792,2.10746,0.01051,8.95213e-05,8.95213e-05,8.95213e-05
90,2494.87,1.33668,1.38239,0.00779,0.4855,0.38439,0.37845,0.23929,1.17062,2.15046,0.00954,7.8528e-05,7.8528e-05,7.8528e-05
91,2523.59,1.23336,1.33061,0.00946,0.47543,0.37711,0.36047,0.22857,1.19747,2.19708,0.01015,6.8454e-05,6.8454e-05,6.8454e-05
92,2547.55,1.22593,1.28717,0.00881,0.502,0.38182,0.36617,0.23449,1.17736,2.19662,0.00988,5.93093e-05,5.93093e-05,5.93093e-05
93,2571.5,1.21265,1.26611,0.00923,0.50151,0.37759,0.36914,0.23327,1.1896,2.20489,0.01013,5.11027e-05,5.11027e-05,5.11027e-05
94,2595.47,1.21461,1.2817,0.00906,0.49016,0.38901,0.37523,0.2394,1.25199,2.09762,0.01151,4.38424e-05,4.38424e-05,4.38424e-05
95,2619.43,1.17926,1.2418,0.00886,0.49794,0.39457,0.38283,0.24334,1.16029,2.16589,0.00954,3.75356e-05,3.75356e-05,3.75356e-05
96,2643.47,1.19029,1.22855,0.00909,0.51054,0.37775,0.3758,0.23751,1.26609,2.1091,0.01193,3.21885e-05,3.21885e-05,3.21885e-05
97,2667.43,1.20502,1.24795,0.00952,0.53115,0.37503,0.37693,0.23629,1.25342,2.10376,0.01159,2.78064e-05,2.78064e-05,2.78064e-05
98,2691.45,1.19632,1.2302,0.0092,0.51136,0.38376,0.37491,0.23756,1.24395,2.12707,0.01143,2.43937e-05,2.43937e-05,2.43937e-05
99,2715.36,1.20663,1.25768,0.0095,0.56612,0.35785,0.37607,0.2374,1.25603,2.137,0.0115,2.19535e-05,2.19535e-05,2.19535e-05
100,2739.3,1.20522,1.21459,0.0089,0.54938,0.36745,0.37578,0.23988,1.25501,2.14316,0.0116,2.04885e-05,2.04885e-05,2.04885e-05
