epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,749.827,1.40498,1.88567,1.4575,0.41642,0.31598,0.29767,0.18336,1.44797,2.066,1.56604,0.0012862,0.0012862,0.0012862
43,766.387,1.42152,1.85343,1.454,0.37922,0.36273,0.32003,0.1943,1.4084,2.30023,1.53017,0.0012562,0.0012562,0.0012562
44,783.71,1.42699,1.88625,1.45719,0.36695,0.35309,0.27448,0.16977,1.44323,2.27504,1.53399,0.00122596,0.00122596,0.00122596
45,801.441,1.40029,1.89098,1.43595,0.43191,0.30935,0.30325,0.18763,1.35743,2.28117,1.48546,0.00119551,0.00119551,0.00119551
46,819.617,1.39694,1.83682,1.43583,0.43083,0.34878,0.31341,0.19172,1.33807,2.12602,1.45534,0.00116487,0.00116487,0.00116487
47,838.115,1.41786,1.84002,1.44202,0.36783,0.32099,0.27894,0.17014,1.39111,2.38153,1.502,0.00113408,0.00113408,0.00113408
48,856.286,1.38218,1.83661,1.44286,0.41668,0.32216,0.30611,0.19344,1.40123,2.10396,1.48699,0.00110317,0.00110317,0.00110317
49,873.8,1.40926,1.79898,1.44804,0.39468,0.33752,0.30411,0.18847,1.37119,2.39005,1.50359,0.00107216,0.00107216,0.00107216
50,891.057,1.36565,1.73069,1.41095,0.42361,0.36896,0.3111,0.18722,1.40649,2.22825,1.4977,0.0010411,0.0010411,0.0010411
51,908.147,1.40434,1.77869,1.43481,0.45309,0.31088,0.3009,0.18482,1.36395,2.27072,1.47457,0.00101,0.00101,0.00101
52,925.185,1.40103,1.78493,1.43955,0.41931,0.34592,0.29517,0.17917,1.36338,2.23615,1.48719,0.000978903,0.000978903,0.000978903
53,942.195,1.37483,1.76043,1.4206,0.41756,0.36447,0.31681,0.20028,1.38994,2.10741,1.52777,0.000947837,0.000947837,0.000947837
54,959.221,1.37171,1.8011,1.4376,0.40449,0.34895,0.30263,0.1875,1.33662,2.23033,1.47761,0.000916833,0.000916833,0.000916833
55,976.224,1.35631,1.72362,1.39508,0.43581,0.36911,0.32776,0.19638,1.41842,2.1195,1.51033,0.00088592,0.00088592,0.00088592
56,993.377,1.37256,1.75117,1.42141,0.40481,0.38072,0.33321,0.20382,1.35512,2.14271,1.48976,0.00085513,0.00085513,0.00085513
57,1010.55,1.34681,1.72949,1.40306,0.41476,0.35654,0.30493,0.18779,1.36374,2.25773,1.5101,0.000824492,0.000824492,0.000824492
58,1027.68,1.37947,1.73412,1.42094,0.42687,0.34229,0.30853,0.18699,1.37419,2.1371,1.50061,0.000794038,0.000794038,0.000794038
